INICIO|FIN|GRUPO|SECTOR|SUBSECTOR|PRODUCTO|TIPO|SUBTIPO|POSICION|CATEGORIA|FORMATO|PRECIO|UNIDAD
2018-01-01|2018-07-01|Agrícola|Frutales|Citricos|LIMON|||Mercas|||0.92|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Citricos|MANDARINA|||Mercas|||0.84|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Citricos|NARANJA|||Mercas|||0.78|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Citricos|POMELO|||Mercas|||1.01|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|||Mercas|||3.77|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|I||1.2|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|II||0.59|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|SIN ESPECIFICAR||1.27|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|I||1.7|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|II||0.57|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|SIN ESPECIFICAR||1.56|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|I||2.9|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|II||1.62|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|SIN ESPECIFICAR||2.44|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||2.05|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.49|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|||Mercas|||3.11|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|EXTRA||2.11|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|I||1.74|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|II||0.8|Euros/kg
2018-01-01|2018-07-01|Agrícola|Frutales|Frutales no cítricos|MANGO|||Mercas|||1.77|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Frutos rojos|FRAMBUESA|||Agricultor|I|Sin especificar|7.01|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Agricultor|I|Especialidades|2.91|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Agricultor|I|Estándar|1.89|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Agricultor|II|Estándar|0.48|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Mercas|||2.46|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|AJO|||Mercas|||1.82|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|CEBOLLA|||Mercas|||0.4|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|ESPARRAGO|||Mercas|||6.61|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|LECHUGA|||Mercas|||1.26|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|ZANAHORIA|||Mercas|||0.76|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas al aire libre|ZANAHORIA|NANTESA||Agricultor|I (MANOJO)||0.32|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|||Mercas|||1.21|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|LARGA|SIN ESPECIFICAR|Agricultor|I||0.5|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|LARGA|SIN ESPECIFICAR|Agricultor|II||0.24|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|LARGA|SIN ESPECIFICAR|Subasta|||0.5|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||0.53|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.16|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|RAYADA|SIN ESPECIFICAR|Agricultor|I||0.72|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|RAYADA|SIN ESPECIFICAR|Agricultor|II||0.35|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|BERENJENA|RAYADA|SIN ESPECIFICAR|Subasta|||0.8|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|||Mercas|||0.88|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||0.54|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.07|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|VERDE|SIN ESPECIFICAR|Agricultor|I||0.4|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|VERDE|SIN ESPECIFICAR|Agricultor|II||0.16|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|CALABACIN|VERDE|SIN ESPECIFICAR|Subasta|||0.38|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|||Mercas|||3.07|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||3.09|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.56|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|PLANA|SIN ESPECIFICAR|Agricultor|I||2.1|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|PLANA|SIN ESPECIFICAR|Agricultor|II||0.7|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|PLANA|SIN ESPECIFICAR|Subasta|||2.22|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|REDONDA|SIN ESPECIFICAR|Agricultor|I||3.07|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|REDONDA|SIN ESPECIFICAR|Agricultor|II||0.44|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|JUDIA VERDE|REDONDA|SIN ESPECIFICAR|Subasta|||3.38|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|MELON|||Mercas|||1.14|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|||Mercas|||0.79|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|CORTO O TIPO ESPAÑOL|SIN ESPECIFICAR|Agricultor|I||0.38|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|CORTO O TIPO ESPAÑOL|SIN ESPECIFICAR|Agricultor|II||0.21|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|CORTO O TIPO ESPAÑOL|SIN ESPECIFICAR|Subasta|||0.41|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|LARGO TIPO HOLANDÉS O ALMERÍA|SIN ESPECIFICAR|Agricultor|I||0.47|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|LARGO TIPO HOLANDÉS O ALMERÍA|SIN ESPECIFICAR|Agricultor|II||0.16|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|LARGO TIPO HOLANDÉS O ALMERÍA|SIN ESPECIFICAR|Subasta|||0.45|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|MEDIO LARGO O TIPO FRANCÉS|SIN ESPECIFICAR|Agricultor|I||0.23|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|MEDIO LARGO O TIPO FRANCÉS|SIN ESPECIFICAR|Agricultor|II||0.18|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|MEDIO LARGO O TIPO FRANCÉS|SIN ESPECIFICAR|Subasta|||0.24|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||1.4|Euros/kg
